,code,更新日期,code1,股票简称,Wind一级行业,Wind二级行业,公司属性,wind1,wind2,company
125,601198.SH,2023/11/17,601198,东兴证券,金融,多元金融,中央国有企业,7,9,1
126,601928.SH,2023/11/17,601928,凤凰传媒,可选消费,媒体Ⅱ,地方国有企业,6,7,2
127,002901.SZ,2023/11/17,2901,大博医疗,医疗保健,医疗保健设备与服务,民营企业,4,4,3
128,300699.SZ,2023/11/17,300699,光威复材,材料,材料Ⅱ,民营企业,1,1,3
129,603156.SH,2023/11/17,603156,养元饮品,日常消费,食品、饮料与烟草,民营企业,8,13,3
130,000999.SZ,2023/11/17,999,华润三九,医疗保健,制药、生物科技与生命科学,中央国有企业,4,10,1
131,001203.SZ,2023/11/17,1203,大中矿业,材料,材料Ⅱ,民营企业,1,1,3
132,603658.SH,2023/11/17,603658,安图生物,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
133,603939.SH,2023/11/17,603939,益丰药房,日常消费,食品与主要用品零售Ⅱ,民营企业,8,21,3
134,601958.SH,2023/11/17,601958,金钼股份,材料,材料Ⅱ,地方国有企业,1,1,2
135,601200.SH,2023/11/17,601200,上海环境,工业,商业和专业服务,地方国有企业,0,17,2
136,001227.SZ,2023/11/17,1227,兰州银行,金融,银行,地方国有企业,7,20,2
137,603707.SH,2023/11/17,603707,健友股份,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
138,002925.SZ,2023/11/17,2925,盈趣科技,信息技术,技术硬件与设备,外资企业,2,2,6
139,002926.SZ,2023/11/17,2926,华西证券,金融,多元金融,地方国有企业,7,9,2
140,601969.SH,2023/11/17,601969,海南矿业,材料,材料Ⅱ,民营企业,1,1,3
141,601990.SH,2023/11/17,601990,南京证券,金融,多元金融,地方国有企业,7,9,2
142,601991.SH,2023/11/17,601991,大唐发电,公用事业,公用事业Ⅱ,中央国有企业,3,3,1
143,601992.SH,2023/11/17,601992,金隅集团,材料,材料Ⅱ,地方国有企业,1,1,2
144,601228.SH,2023/11/17,601228,广州港,工业,运输,地方国有企业,0,6,2
145,002505.SZ,2023/11/17,2505,鹏都农牧,日常消费,食品、饮料与烟草,民营企业,8,13,3
146,002506.SZ,2023/11/17,2506,协鑫集成,信息技术,半导体与半导体生产设备,民营企业,2,16,3
147,002507.SZ,2023/11/17,2507,涪陵榨菜,日常消费,食品、饮料与烟草,地方国有企业,8,13,2
148,002508.SZ,2023/11/17,2508,老板电器,可选消费,耐用消费品与服装,民营企业,6,14,3
149,002511.SZ,2023/11/17,2511,中顺洁柔,日常消费,家庭与个人用品,民营企业,8,19,3
150,603198.SH,2023/11/17,603198,迎驾贡酒,日常消费,食品、饮料与烟草,民营企业,8,13,3
151,002958.SZ,2023/11/17,2958,青农商行,金融,银行,公众企业,7,20,0
152,601997.SH,2023/11/17,601997,贵阳银行,金融,银行,地方国有企业,7,20,2
153,603000.SH,2023/11/17,603000,人民网,信息技术,软件与服务,中央国有企业,2,8,1
154,002936.SZ,2023/11/17,2936,郑州银行,金融,银行,地方国有企业,7,20,2
155,002939.SZ,2023/11/17,2939,长城证券,金融,多元金融,中央国有企业,7,9,1
156,001872.SZ,2023/11/17,1872,招商港口,工业,运输,中央国有企业,0,6,1
157,001914.SZ,2023/11/17,1914,招商积余,房地产,房地产Ⅱ,中央国有企业,5,5,1
158,001965.SZ,2023/11/17,1965,招商公路,工业,运输,中央国有企业,0,6,1
159,601298.SH,2023/11/17,601298,青岛港,工业,运输,地方国有企业,0,6,2
