p-p = -0.006844751536846161, last = buy buy
p-p = -0.004489965736865997, last = buy buy
p-p = -0.003471776843070984, last = buy buy
p-p = -0.00685163214802742, last = buy buy
p-p = -0.01917971670627594, last = buy buy
p-p = -0.008406788110733032, last = buy buy
p-p = -0.008260700851678848, last = buy buy
p-p = -0.014369040727615356, last = buy buy
p-p = -0.004174217581748962, last = buy buy
p-p = -0.013388240709900856, last = buy buy
p-p = -0.006264742463827133, last = buy buy
p-p = -0.0016682930290699005, last = buy buy
p-p = -0.00791781023144722, last = buy buy
p-p = -0.004329849034547806, last = buy buy
p-p = -0.002216298133134842, last = buy buy
p-p = -0.003344055265188217, last = buy buy
p-p = -0.013346586376428604, last = buy buy
p-p = -0.0014966689050197601, last = buy buy
p-p = -0.0036296918988227844, last = buy buy
p-p = -0.020438071340322495, last = buy buy
p-p = -0.019793208688497543, last = buy buy
p-p = -0.008058637380599976, last = buy buy
p-p = -0.027833513915538788, last = buy buy
p-p = -0.0013149939477443695, last = buy buy
p-p = -0.002238217741250992, last = buy buy
p-p = -0.012287449091672897, last = buy buy
p-p = -0.023097064346075058, last = buy buy
p-p = -0.01756761036813259, last = buy buy
p-p = -0.0055975280702114105, last = buy buy
p-p = -0.003265704959630966, last = buy buy
p-p = -0.017270734533667564, last = buy buy
p-p = -0.0015779845416545868, last = buy buy
p-p = -0.006050419062376022, last = buy buy
p-p = -0.0076396651566028595, last = buy buy
p-p = -0.006195899099111557, last = buy buy
p-p = -0.0057922303676605225, last = buy buy
p-p = -0.01092132180929184, last = buy buy
p-p = -0.005016680806875229, last = buy buy
p-p = -0.005403049290180206, last = buy buy
p-p = -0.013633152469992638, last = buy buy
p-p = -0.01266375184059143, last = buy buy
p-p = -0.006697710603475571, last = buy buy
p-p = -0.002616550773382187, last = buy buy
p-p = -0.016944287344813347, last = buy buy
p-p = -0.010881885886192322, last = buy buy
p-p = -0.021766994148492813, last = buy buy
p-p = -0.0059598349034786224, last = buy buy
p-p = -0.0024202167987823486, last = buy buy
p-p = -0.006303388625383377, last = buy buy
p-p = -0.002118069678544998, last = buy buy
p-p = -0.005448659881949425, last = buy buy
p-p = -0.0029506348073482513, last = buy buy
p-p = -0.0070454441010952, last = buy buy
p-p = -0.005458306521177292, last = buy buy
p-p = -0.007196933031082153, last = buy buy
p-p = -0.011275364086031914, last = buy buy
p-p = -0.0028971657156944275, last = buy buy
p-p = -0.006795758381485939, last = buy buy
p-p = -0.004811860620975494, last = buy buy
p-p = -0.0061707329005002975, last = buy buy
p-p = -0.0018557459115982056, last = buy buy
p-p = -0.002811446785926819, last = buy buy
p-p = -0.00511561892926693, last = buy buy
p-p = -0.0027081333100795746, last = buy buy
p-p = -0.027106748893857002, last = buy buy
p-p = -0.0018749870359897614, last = buy buy
p-p = -0.006062649190425873, last = buy buy
p-p = -0.0011629201471805573, last = buy buy
p-p = -0.008053377270698547, last = buy buy
p-p = -0.005500931292772293, last = buy buy
p-p = -0.0020763278007507324, last = buy buy
p-p = -0.005600150674581528, last = buy buy
p-p = -0.006973475217819214, last = buy buy
p-p = -0.005236521363258362, last = buy buy
p-p = -0.0010663829743862152, last = buy buy
p-p = -0.013546451926231384, last = buy buy
p-p = -0.007258690893650055, last = buy buy
p-p = -0.027045397087931633, last = buy buy
p-p = -0.006236441433429718, last = buy buy
p-p = -0.007096823304891586, last = buy buy
p-p = -0.012562543153762817, last = buy buy
p-p = -0.017385436221957207, last = buy buy
p-p = -0.02021631971001625, last = buy buy
p-p = -0.02124824747443199, last = buy buy
p-p = -0.01492992602288723, last = buy buy
p-p = -0.0019367039203643799, last = buy buy
p-p = -0.00543048232793808, last = buy buy
p-p = -0.004654543474316597, last = buy buy
p-p = -0.008131962269544601, last = buy buy
p-p = -0.0026932843029499054, last = buy buy
p-p = -0.007908117026090622, last = buy buy
p-p = -0.009128950536251068, last = buy buy
p-p = -0.01115630567073822, last = buy buy
p-p = -0.008250437676906586, last = buy buy
p-p = -0.008658673614263535, last = buy buy
p-p = -0.008035866543650627, last = buy buy
p-p = -0.017383601516485214, last = buy buy
p-p = -0.009639274328947067, last = buy buy
p-p = -0.00572030246257782, last = buy buy
p-p = -0.0036124233156442642, last = buy buy
p-p = -0.0057169124484062195, last = buy buy
p-p = -0.008834034204483032, last = buy buy
p-p = -0.0015026219189167023, last = buy buy
p-p = -0.01172640174627304, last = buy buy
p-p = -0.0021671317517757416, last = buy buy
p-p = -0.01819421350955963, last = buy buy
p-p = -0.005377732217311859, last = buy buy
p-p = -0.021218925714492798, last = buy buy
p-p = -0.012127300724387169, last = buy buy
p-p = -0.002609945833683014, last = buy buy
p-p = -0.006872870028018951, last = buy buy
p-p = -0.007932567968964577, last = buy buy
p-p = -0.010575342923402786, last = buy buy
p-p = -0.004801344126462936, last = buy buy
p-p = -0.026131903752684593, last = buy buy
p-p = -0.004512175917625427, last = buy buy
p-p = -0.022168345749378204, last = buy buy
p-p = -0.029378600418567657, last = buy buy
p-p = -0.003152288496494293, last = buy buy
p-p = -0.006582640111446381, last = buy buy
p-p = -0.011691281571984291, last = buy buy
p-p = -0.0016878508031368256, last = buy buy
p-p = -0.014084295369684696, last = buy buy
p-p = -0.005210597068071365, last = buy buy
p-p = -0.011315902695059776, last = buy buy
p-p = -0.0016704350709915161, last = buy buy
p-p = -0.0059326812624931335, last = buy buy
p-p = -0.013084139674901962, last = buy buy
p-p = -0.0016593001782894135, last = buy buy
p-p = -0.006767731159925461, last = buy buy
p-p = -0.01567363552749157, last = buy buy
p-p = -0.008746806532144547, last = buy buy
p-p = -0.0077253468334674835, last = buy buy
p-p = -0.019451618194580078, last = buy buy
p-p = -0.005412524566054344, last = buy buy
p-p = -0.006186295300722122, last = buy buy
p-p = -0.004451721906661987, last = buy buy
p-p = -0.01579803228378296, last = buy buy
p-p = -0.005462221801280975, last = buy buy
p-p = -0.007426176220178604, last = buy buy
p-p = -0.026075858622789383, last = buy buy
p-p = -0.0068473219871521, last = buy buy
p-p = -0.013519596308469772, last = buy buy
p-p = -0.0066951364278793335, last = buy buy
p-p = -0.001394413411617279, last = buy buy
p-p = -0.007069464772939682, last = buy buy
p-p = -0.02321045473217964, last = buy buy
p-p = -0.007880747318267822, last = buy buy
p-p = -0.015220586210489273, last = buy buy
p-p = -0.0014764778316020966, last = buy buy
p-p = -0.006363678723573685, last = buy buy
p-p = -0.02972019463777542, last = buy buy
p-p = -0.001547113060951233, last = buy buy
p-p = -0.007593188434839249, last = buy buy
p-p = -0.006328709423542023, last = buy buy
p-p = -0.007152767851948738, last = buy buy
p-p = -0.005567379295825958, last = buy buy
p-p = -0.006082065403461456, last = buy buy
p-p = -0.005207877606153488, last = buy buy
p-p = -0.0022981949150562286, last = buy buy
p-p = -0.005409806966781616, last = buy buy
p-p = -0.003930177539587021, last = buy buy
p-p = -0.0031669139862060547, last = buy buy
p-p = -0.0141444131731987, last = buy buy
p-p = -0.0037058480083942413, last = buy buy
p-p = -0.006531674414873123, last = buy buy
p-p = -0.0033623836934566498, last = buy buy
p-p = -0.004229346290230751, last = buy buy
p-p = -0.003314647823572159, last = buy buy
p-p = -0.002435389906167984, last = buy buy
p-p = -0.005756687372922897, last = buy buy
p-p = -0.0074217841029167175, last = buy buy
p-p = -0.01831771433353424, last = buy buy
p-p = -0.006261959671974182, last = buy buy
p-p = -0.004314679652452469, last = buy buy
p-p = -0.007207445800304413, last = buy buy
p-p = -0.02892821840941906, last = buy buy
p-p = -0.01744791306555271, last = buy buy
p-p = -0.0033349450677633286, last = buy buy
p-p = -0.0013070479035377502, last = buy buy
p-p = -0.0010740645229816437, last = buy buy
p-p = -0.003207877278327942, last = buy buy
p-p = -0.013651205226778984, last = buy buy
p-p = -0.0034523531794548035, last = buy buy
p-p = -0.007964327931404114, last = buy buy
p-p = -0.0233161561191082, last = buy buy
p-p = -0.0020567355677485466, last = buy buy
p-p = -0.019100919365882874, last = buy buy
p-p = -0.008148394525051117, last = buy buy
p-p = -0.018027804791927338, last = buy buy
p-p = -0.02670130878686905, last = buy buy
p-p = -0.02066877670586109, last = buy buy
p-p = -0.008809754624962807, last = buy buy
p-p = -0.002391306683421135, last = buy buy
p-p = -0.007694698870182037, last = buy buy
p-p = -0.012208560481667519, last = buy buy
p-p = -0.006172142922878265, last = buy buy
p-p = -0.019813863560557365, last = buy buy
p-p = -0.002437477931380272, last = buy buy
p-p = -0.004745494574308395, last = buy buy
