
p-p = 0.0034569092094898224, last = sell sell
p-p = 0.010201167315244675, last = sell sell
p-p = 0.0010978244245052338, last = sell sell
p-p = 0.004176143556833267, last = sell sell
p-p = 0.0029362626373767853, last = sell sell
p-p = 0.007705993950366974, last = sell sell
p-p = 0.0025409460067749023, last = sell sell
p-p = 0.0014358535408973694, last = sell sell
p-p = 0.0017415061593055725, last = sell sell
p-p = 0.0034748688340187073, last = sell sell
p-p = 0.001386784017086029, last = sell sell
p-p = 0.005025483667850494, last = sell sell
p-p = 0.0048032887279987335, last = sell sell
p-p = 0.00446450337767601, last = sell sell
p-p = 0.0030357129871845245, last = sell sell
p-p = 0.001958254724740982, last = sell sell
p-p = 0.002796720713376999, last = sell sell
p-p = 0.002889040857553482, last = sell sell
p-p = 0.004708282649517059, last = sell sell
p-p = 0.003927290439605713, last = sell sell
p-p = 0.00475354865193367, last = sell sell
p-p = 0.002466948702931404, last = sell sell
p-p = 0.0050156861543655396, last = sell sell
p-p = 0.004245098680257797, last = sell sell
p-p = 0.003792550414800644, last = sell sell
p-p = 0.003978163003921509, last = sell sell
p-p = 0.004378128796815872, last = sell sell
p-p = 0.004374343901872635, last = sell sell
p-p = 0.0015168674290180206, last = sell sell
p-p = 0.0035307854413986206, last = sell sell
p-p = 0.0027998797595500946, last = sell sell
p-p = 0.0029525551944971085, last = sell sell
p-p = 0.002937324345111847, last = sell sell
p-p = 0.006032615900039673, last = sell sell
p-p = 0.0018489416688680649, last = sell sell
p-p = 0.0024506859481334686, last = sell sell
p-p = 0.0017459504306316376, last = sell sell
p-p = 0.0013710744678974152, last = sell sell
p-p = 0.004043657332658768, last = sell sell
p-p = 0.006500989198684692, last = sell sell
p-p = 0.0047898069024086, last = sell sell
p-p = 0.0025660060346126556, last = sell sell
p-p = 0.002188514918088913, last = sell sell
p-p = 0.004626654088497162, last = sell sell
p-p = 0.004574805498123169, last = sell sell
p-p = 0.002589873969554901, last = sell sell
p-p = 0.003931725397706032, last = sell sell
p-p = 0.0038208328187465668, last = sell sell
p-p = 0.0019646547734737396, last = sell sell
p-p = 0.001924995332956314, last = sell sell
p-p = 0.0027871783822774887, last = sell sell
p-p = 0.003161732107400894, last = sell sell
p-p = 0.004525978118181229, last = sell sell
p-p = 0.0011861957609653473, last = sell sell
p-p = 0.0024333111941814423, last = sell sell
p-p = 0.0019034072756767273, last = sell sell
p-p = 0.0025267861783504486, last = sell sell
p-p = 0.036703769117593765, last = sell sell
p-p = 0.0020107924938201904, last = sell sell
p-p = 0.0017511621117591858, last = sell sell
p-p = 0.0031631439924240112, last = sell sell
p-p = 0.0013171322643756866, last = sell sell
p-p = 0.004890125244855881, last = sell sell
p-p = 0.029207859188318253, last = sell sell
p-p = 0.0032516401261091232, last = sell sell
p-p = 0.027980990707874298, last = sell sell
p-p = 0.011324185878038406, last = sell sell
p-p = 0.016901738941669464, last = sell sell
p-p = 0.013024315237998962, last = sell sell
p-p = 0.014744803309440613, last = sell sell
p-p = 0.012731583788990974, last = sell sell
p-p = 0.017485469579696655, last = sell sell
p-p = 0.016810093075037003, last = sell sell
p-p = 0.020564965903759003, last = sell sell
p-p = 0.015747442841529846, last = sell sell
p-p = 0.011413507163524628, last = sell sell
p-p = 0.012588037177920341, last = sell sell
p-p = 0.011075388640165329, last = sell sell
p-p = 0.01332847774028778, last = sell sell
p-p = 0.013317413628101349, last = sell sell
p-p = 0.01898030936717987, last = sell sell
p-p = 0.011312812566757202, last = sell sell
p-p = 0.013336226344108582, last = sell sell
p-p = 0.03446665778756142, last = sell sell
p-p = 0.010893434286117554, last = sell sell
p-p = 0.016364656388759613, last = sell sell
p-p = 0.04355113208293915, last = sell sell
p-p = 0.018850963562726974, last = sell sell
p-p = 0.011133253574371338, last = sell sell
p-p = 0.012483024969696999, last = sell sell
p-p = 0.010354172438383102, last = sell sell
p-p = 0.04025542736053467, last = sell sell
p-p = 0.010513871908187866, last = sell sell
p-p = 0.010563086718320847, last = sell sell
p-p = 0.013236694037914276, last = sell sell
p-p = 0.01702318713068962, last = sell sell
p-p = 0.03292117267847061, last = sell sell
p-p = 0.011412139981985092, last = sell sell
p-p = 0.012294810265302658, last = sell sell
p-p = 0.01279754564166069, last = sell sell
p-p = 0.011179540306329727, last = sell sell
p-p = 0.01197584718465805, last = sell sell
p-p = 0.014865882694721222, last = sell sell
p-p = 0.010501742362976074, last = sell sell
p-p = 0.012889187783002853, last = sell sell
p-p = 0.01125529408454895, last = sell sell
p-p = 0.010290700942277908, last = sell sell
p-p = 0.011055804789066315, last = sell sell
p-p = 0.012746263295412064, last = sell sell
p-p = 0.012703463435173035, last = sell sell
p-p = 0.022186685353517532, last = sell sell
p-p = 0.016185496002435684, last = sell sell
p-p = 0.017373885959386826, last = sell sell
p-p = 11.062970161437988, last = sell sell
p-p = 4.145898818969727, last = sell sell
p-p = 2.7509844303131104, last = sell sell
p-p = 5.726698398590088, last = sell sell
p-p = 7.386592864990234, last = sell sell
p-p = 13.97741985321045, last = sell sell
p-p = 0.7114465236663818, last = sell sell
p-p = 28.243331909179688, last = sell sell
p-p = 5.817789077758789, last = sell sell
p-p = 153.01443481445312, last = sell sell
p-p = 19.74441909790039, last = sell sell
p-p = 0.8918823599815369, last = sell sell
p-p = 2.4989113807678223, last = sell sell
p-p = 2.8283019065856934, last = sell sell
p-p = 23.7617130279541, last = sell sell
p-p = 6.043932914733887, last = sell sell
p-p = 64.6902847290039, last = sell sell
p-p = 1.4305942058563232, last = sell sell
p-p = 4.323853015899658, last = sell sell
p-p = 11.00058364868164, last = sell sell
p-p = 3.105670928955078, last = sell sell
p-p = 6.217693328857422, last = sell sell
p-p = 31.735137939453125, last = sell sell
p-p = 6.120352745056152, last = sell sell
p-p = 4.627933502197266, last = sell sell
p-p = 41.79713821411133, last = sell sell
p-p = 15.815889358520508, last = sell sell
p-p = 19.03116226196289, last = sell sell
p-p = 1.74135422706604, last = sell sell
p-p = 43.371219635009766, last = sell sell
p-p = 16.083608627319336, last = sell sell
p-p = 5.629369735717773, last = sell sell
p-p = 3.3568551540374756, last = sell sell
p-p = 8.934713363647461, last = sell sell
p-p = 106.67045593261719, last = sell sell
p-p = 6.846261024475098, last = sell sell
p-p = 10.684428215026855, last = sell sell
p-p = 9.74443244934082, last = sell sell
p-p = 11.562175750732422, last = sell sell
p-p = 5.794508934020996, last = sell sell
p-p = 4.420186996459961, last = sell sell
p-p = 6.416901588439941, last = sell sell
p-p = 1.767063021659851, last = sell sell
p-p = 7.262275695800781, last = sell sell
p-p = 0.9962902069091797, last = sell sell
p-p = 1.4443165063858032, last = sell sell
p-p = 8.211252212524414, last = sell sell
p-p = 91.3134994506836, last = sell sell
p-p = 4.544994354248047, last = sell sell
p-p = 7.521213531494141, last = sell sell
p-p = 14.0628662109375, last = sell sell
p-p = 2.5574727058410645, last = sell sell
p-p = 21.221088409423828, last = sell sell
p-p = 8.984670639038086, last = sell sell
p-p = 3.5343708992004395, last = sell sell
p-p = 16.143314361572266, last = sell sell
p-p = 8.3204927444458, last = sell sell
p-p = 5.022711753845215, last = sell sell
p-p = 3.0884406566619873, last = sell sell
p-p = 11.149467468261719, last = sell sell
p-p = 13.11902141571045, last = sell sell
p-p = 3.149143695831299, last = sell sell
p-p = 22.959228515625, last = sell sell
p-p = 3.5558559894561768, last = sell sell
p-p = 2.293372631072998, last = sell sell
p-p = 4.822627067565918, last = sell sell
p-p = 2.4792771339416504, last = sell sell
p-p = 3.806185245513916, last = sell sell
p-p = 15.904060363769531, last = sell sell
p-p = 6.968315601348877, last = sell sell
p-p = 6.618770599365234, last = sell sell
p-p = 1.4222307205200195, last = sell sell
p-p = 1.8054598569869995, last = sell sell
p-p = 21.48571014404297, last = sell sell
p-p = 0.9324955344200134, last = sell sell
p-p = 18.10507583618164, last = sell sell
p-p = 16.31692123413086, last = sell sell
p-p = 1.9359339475631714, last = sell sell
p-p = 15.551755905151367, last = sell sell
p-p = 3.661637783050537, last = sell sell
p-p = 9.366071701049805, last = sell sell
p-p = 22.746238708496094, last = sell sell
p-p = 3.8549463748931885, last = sell sell
p-p = 0.22447356581687927, last = sell sell
p-p = 33.91997528076172, last = sell sell
p-p = 1.8358550071716309, last = sell sell
p-p = 7.68314266204834, last = sell sell
p-p = 1.8295177221298218, last = sell sell
p-p = 4.839557647705078, last = sell sell
p-p = 2.287524700164795, last = sell sell
p-p = 2.4342331886291504, last = sell sell
p-p = 22.860563278198242, last = sell sell
p-p = 15.535943984985352, last = sell sell
p-p = 7.343498229980469, last = sell sell
p-p = 33.581844329833984, last = sell sell
p-p = 18.64241600036621, last = sell sell
p-p = 11.799055099487305, last = sell sell
p-p = 7.831218719482422, last = sell sell
p-p = 7.395580291748047, last = sell sell
p-p = 29.728090286254883, last = sell sell
p-p = 4.775896072387695, last = sell sell
p-p = 2.969338893890381, last = sell sell
p-p = 14.68686580657959, last = sell sell
p-p = 3.068789482116699, last = sell sell
p-p = 23.438453674316406, last = sell sell
p-p = 14.04142951965332, last = sell sell
p-p = 10.26607608795166, last = sell sell
p-p = 4.582322120666504, last = sell sell
p-p = 13.654796600341797, last = sell sell
p-p = 3.9686975479125977, last = sell sell
p-p = 11.044706344604492, last = sell sell
p-p = 3.645197868347168, last = sell sell
p-p = 8.376830101013184, last = sell sell
p-p = 2.290167808532715, last = sell sell
p-p = 4.800705909729004, last = sell sell
p-p = 8.898595809936523, last = sell sell
p-p = 1.1061666011810303, last = sell sell
p-p = 3.1036124229431152, last = sell sell
p-p = 5.497902870178223, last = sell sell
p-p = 4.502964019775391, last = sell sell
p-p = 1.0635524988174438, last = sell sell
p-p = 3.958815574645996, last = sell sell
p-p = 8.801020622253418, last = sell sell
p-p = 1.7364389896392822, last = sell sell
p-p = 15.845861434936523, last = sell sell
p-p = 1.1729257106781006, last = sell sell
